Video #,Time (seconds),Converted Time,Observation,Comments
16,11311,0.130914352,1 T 2,
16,11314,0.130949074,3 T 2,
16,11316,0.130972222,3 C 2,
16,11363,0.131516204,1 C 4,
16,11366,0.131550926,1 T 4,
16,11367,0.1315625,3 T 1,
16,11368,0.131574074,3 T 4,
16,11371,0.131608796,3 C 2,
16,11373,0.131631944,3 C 2,
16,11374,0.131643519,3 C 2,
16,11376,0.131666667,3 T 1,
16,11379,0.131701389,3 C 2,
16,11381,0.131724537,3 T 2,
16,11409,0.132048611,3 T 2,
16,11432,0.132314815,1 T 2,
16,11434,0.132337963,3 T 2,
16,11475,0.1328125,1 C 4,
16,11477,0.132835648,1 T 4,
16,11512,0.133240741,3 T 1,
16,11514,0.133263889,1 T 4,
16,11515,0.133275463,3 C 1,
16,11526,0.133402778,3 C 4,
16,11531,0.133460648,3 T 2,
16,11563,0.133831019,1 C 2,
16,11611,0.134386574,3 C 2,
16,11613,0.134409722,1 T 2,
16,11617,0.134456019,1 T 2,
16,11629,0.134594907,3 T 2,
16,11631,0.134618056,3 C 2,
16,11633,0.134641204,3 T 2,
16,11663,0.134988426,end experiment,
17,11746,0.135949074,3 C 2,
17,11747,0.135960648,3 T 1,
17,11750,0.13599537,3 C 2,
17,11752,0.136018519,3 T 4,
17,11763,0.136145833,1 T 2,
17,11767,0.13619213,3 T 4,
17,11793,0.136493056,3 T 2,
17,11835,0.136979167,3 T 2,
17,11870,0.137384259,3 T 4,
17,11871,0.137395833,3 C 2,
17,11873,0.137418981,3 C 2,
17,11996,0.138842593,3 T 2,
17,12001,0.138900463,3 T 2,
17,12002,0.138912037,3 C 2,
17,12004,0.138935185,3 T 2,
17,12005,0.138946759,3 C 2,
17,12008,0.138981481,3 C 2,
17,12117,0.140243056,1 C 4,
17,12120,0.140277778,1 T 4,
17,12120,0.140277778,1 C 4,
17,12123,0.1403125,1 C 4,
17,12157,0.140706019,3 T 2,
17,12172,0.14087963,3 T 2,
17,12308,0.142453704,3 T 1,
17,12316,0.142546296,1 C 4,
17,12317,0.14255787,1 T 4,
17,12341,0.142835648,3 C 2,
17,12344,0.14287037,3 C 2,
17,12345,0.142881944,3 T 4,
17,12349,0.142928241,3 C 2,
17,12349,0.142928241,end experiment,
18,12351,0.142951389,3 C 2,
18,12417,0.143715278,3 C 1,
18,12468,0.144305556,3 T 2,
18,12471,0.144340278,3 C 2,
18,12478,0.144421296,3 T 2,borderline
18,12505,0.144733796,3 T 2,
18,12558,0.145347222,3 T 1,
18,12601,0.145844907,3 T 2,
18,12645,0.146354167,3 T 2,
18,12740,0.147453704,3 C 2,
18,12743,0.147488426,3 T 2,
18,12748,0.147546296,2 C 1,
18,12749,0.14755787,3 T 2,
18,12752,0.147592593,2 C 4,
18,12754,0.147615741,2 T 4,
18,12755,0.147627315,2 T 4,
18,12767,0.147766204,3 T 2,
18,12768,0.147777778,3 C 2,
18,12768,0.147777778,3 T 4,
18,12771,0.1478125,3 T 4,
18,12787,0.147997685,1 T 4,
18,12853,0.148761574,2 T 1,
18,12854,0.148773148,2 T 1,
18,12970,0.150115741,3 T 2,
18,13035,0.150868056,end experiment,
19,13073,0.15130787,3 C 2,
19,13155,0.152256944,3 C 2,
19,13157,0.152280093,3 T 2,
19,13164,0.152361111,3 T 2,
19,13335,0.154340278,3 C 4,
19,13340,0.154398148,3 C 2,
19,13342,0.154421296,3 C 2,
19,13345,0.154456019,3 C 4,
19,13348,0.154490741,3 T 2,
19,13609,0.157511574,3 T 4,
19,13613,0.15755787,3 T 4,
19,13616,0.157592593,3 T 4,
